"";"openalex_id";"journal_name";"publication_year";"osf_links";"git_links";"has_osf";"has_git";"has_any_link";"all_osf_links_clean";"all_git_links_clean";"country";"author";"title";"keywords";"method_quali";"open_answers";"interview";"observation";"documents";"method_quanti";"one_m";"multiple_m";"quasiexperiment";"experiment";"intervention";"primary_data";"secondary_data";"review";"method_other";"open_data";"open_code";"open_material";"open_analysis";"prerig";"notes2"
"21";"W4412163301";"Frontiers in Education";2025;"osf.io/4nd7q||osf.io/4ypj3||osf.io/4ypj3";NA;TRUE;FALSE;TRUE;"";"";"Germany";"Fick; J.; Hendriks; F.; Thies; B.";"How to talk about science in ways that are comprehensible and interesting? Evaluation of an evidence-based science communication training program for graduate students";"science communication; training evaluation; graduate students; pre-post design; self-efficacy; communication performance";"0";"0";"0";0;"0";"1";"0";"1";1;0;1;1;"0";0;NA;"1";"1";"1";"0";"1";"fragebogen"
"22";"W4410235326";"Frontiers in Education";2025;"osf.io/9rvcz||osf.io/9rvcz";NA;TRUE;FALSE;TRUE;"";"";"Spain";"Brage-del-Rio; M.; Martin-Nunez; J. L.; Pablo-Lerchundi; I.";"Educational strategies to reduce the gender gap in the self-efficacy of high school students in stem teaching";"STEM; gender gap; self-efficacy; high school students; Physics and Chemistry; academic performance; ANOVA";"0";"0";"0";0;"0";"1";"1";"0";0;0;0;1;"0";0;NA;"1";"0";"1";"0";"";"fragebogen"
"23";"W4401181711";"Frontiers in Education";2024;"osf.io/zhaxs||osf.io/qgepn";NA;TRUE;FALSE;TRUE;"";"";"United States";"Dietrich S. W.; Cunningham A. M.; Sandrin S. K.";"Databases for STEM success: lessons learned";"databases; STEM success; SQL; student feedback; survey";"1";"1";"0";0;"0";"1";"1";"0";0;0;1;1;"0";0;NA;"1";"0";"1";"0";"";"fragebogen"
"24";"W4315782093";"Frontiers in Education";2023;"osf.io/fsjcu||osf.io/fsjcu";NA;TRUE;FALSE;TRUE;"";"";"France";"Jury M.; Laurence A.; Cebe S.; Desombre C.";"Teachers concerns about inclusive education and the links with teachers attitudes";"inclusive education; teacher concerns; attitudes; French teachers; correlational study";"0";"0";"0";0;"0";"1";"1";"0";0;0;0;1;"0";0;NA;"1";"0";"1";"0";"";"fragebogen"
"25";"W3200060392";"Frontiers in Education";2021;"osf.io/npbya||osf.io/qgepn";NA;TRUE;FALSE;TRUE;"";"";"United States";"Goelman D.; Broatch J.; Crook S.; Ball B.; Kobojek K.; Ortiz J.";"Introducing Databases in Context Through Customizable Visualizations";"databases; visualizations; data science education; contextualized learning; customizable learning tools";"0";"0";"0";0;"0";"0";"0";"0";0;0;1;0;"0";0;"didactic";"1";"0";"1";"0";"";"fragebogen"
"26";"W3188304389";"International Journal of Educational Technology in Higher Education";2021;"osf.io/s26rt||OSF.IO/S26RT";NA;TRUE;FALSE;TRUE;"";"";"International";"Joshua Weidlich; Marco Kalz";"Exploring predictors of instructional resilience during emergency remote teaching in higher education";"instructional resilience; emergency remote teaching; higher education; COVID-19; lecturers; survey";"0";"0";"0";0;"0";"1";"1";"0";0;0;0;1;"0";0;NA;"1";"0";"1";"0";"";"fragebogen"
"27";"W4403659720";"Frontiers in Education";2024;"osf.io/v7f8z||osf.io/pwu92||osf.io/vwu9m||osf.io/nb2s4||osf.io/2gjfm||osf.io/7q5tx";NA;TRUE;FALSE;TRUE;"";"";"United States";"Nguyen K. H.";"Cohort-based programs facilitate skill development and community building for postdoctoral scholars: a pilot study";"postdoctoral scholars; cohort-based program; leadership; project management; community building";"1";"1";"0";0;"0";"1";"0";"1";1;0;1;1;"0";0;NA;"0";"0";"1";"0";"";"interview"
"28";"W4414896724";"Education Sciences";2025;"osf.io/z8wbs||osf.io/ad7kf||osf.io/ad7kf||osf.io/ad7kf";NA;TRUE;FALSE;TRUE;"";"";"Belgium";"Vanessa De Wilde";"How Do Individual-Difference Variables Affect Adolescent Learners' L2 English Speaking Development? A Microgenetic Study";"L2 English; speaking development; individual differences; adolescent learners; microgenetic study; longitudinal study";"0";"0";"0";0;"0";"1";"0";"1";0;0;0;1;"0";0;NA;"0";"0";"1";"0";"";"items"
"29";"W4366760248";"AERA Open";2023;"osf.io/bafdr||osf.io/2r5zs||osf.io/r3nf2";NA;TRUE;FALSE;TRUE;"";"";"United States";"Lauren E. Decker-Woodrow; Craig A. Mason; Ji-Eun Lee; Jenny Yun-Chen Chan; Adam Sales; Allison Liu; Shihfen Tu";"The Impacts of Three Educational Technologies on Algebraic Understanding in the Context of COVID-19";"educational technology; algebra; randomized controlled trial; ASSISTments; DragonBox; From Here to There; COVID-19";"0";"0";"0";0;"0";"1";"0";"1";0;1;1;1;"0";0;"didactic";"0";"0";"1";"0";"";"items"
"30";"W3043092346";"AERA Open";2020;NA;"https://github.com/ddemszky/textbook-analysis";FALSE;TRUE;TRUE;NA;"github.com/ddemszky/textbook-analysis";"USA";"Li, L.; Demszky, D.; Bromley, P.; Jurafsky, D.";"Content Analysis of Textbooks via Natural Language Processing: Findings on Gender, Race, and Ethnicity in Texas U.S. History Textbooks";"artificial intelligence; case studies; content analysis; curriculum; data science; gender studies; history; natural language processing; race; textbooks; textual analysis";"0";"0";"0";0;"0";"1";"1";"0";0;0;0;0;"1";0;"";"0";"1";"1";"0";"";"kodiermaterial"
