;openalex_id;journal_id;journal_name;publication_year;has_osf;has_git;doi;country;author;title;keywords;method_quali;open_answers;interview;observation;documents;method_quanti;one_m;multiple_m;quasiexperiment;experiment;intervention;primary_data;secondary_data;review;method_other;open_data;open_code;open_material;open_analysis;prerig;notes2;study_type;
28;W4223434992;S2596526815;Frontiers in Education;2022;FALSE;TRUE;https://doi.org/10.3389/feduc.2022.873196;USA;"Gannon, J. P.; McGuire, K. J.";An Interactive Web Application Helps Students Explore Water Balance Concepts;"water balance; water budget; web app; teaching; hydrology";0;0;0;0;0;1;1;0;0;0;1;1;0;0;didactic;1;1;1;0;NA;software;quantitative;
29;W4214524351;S2596526815;Frontiers in Education;2022;TRUE;FALSE;https://doi.org/10.3389/feduc.2022.817291;USA;"LaPaglia, J.; Miller, K.; Protexter, S.";Gender Bias Interacts With Instructor Disfluency to Negatively Affect Student Evaluations of Teaching;"instructor fluency; gender bias; student evaluations of teaching; learning; judgments of learning";0;0;0;0;0;1;1;0;0;1;1;1;0;0;NA;1;0;0;0;NA;NA;quantitative;
30;W3177207251;S2596526815;Frontiers in Education;2021;FALSE;TRUE;https://doi.org/10.3389/feduc.2021.662380;USA;"Athavale, P.; Mondal, S.; Rivera, S.";Factors Influencing Success in Advanced Engineering Mathematics Courses: A Case Study;"COVID-19; engineering mathematics; lecturing schedule; cellphone usage; screen time";0;0;0;0;0;1;1;0;0;0;0;1;0;0;NA;1;1;0;0;NA;NA;quantitative;
31;W3092489168;S2596526815;Frontiers in Education;2020;TRUE;FALSE;https://doi.org/10.3389/feduc.2020.572367;USA;"Kumar, V.; Boulanger, D.";Explainable Automated Essay Scoring: Deep Learning Really Has Pedagogical Value;"explainable artificial intelligence; SHAP; automated essay scoring; deep learning; trust; learning analytics; feedback; rubric";0;0;0;0;0;1;1;0;0;0;0;0;1;0;NA;1;1;0;0;NA;NA;quantitative;
32;W2959342157;S2596526815;Frontiers in Education;2019;TRUE;FALSE;https://doi.org/10.3389/feduc.2019.00078;USA;"McDonald, M. M.; Zeigler-Hill, V.; Vrabel, J. K.; Escobar, M.";A Single-Item Measure for Assessing STEM Identity;" STEM identity; STEM attitudes; STEM self-efficacy; agency; goals";0;0;0;0;0;1;0;1;0;0;0;1;0;0;psychometric;1;0;0;0;NA;NA;quantitative;
33;W4417158255;S2738008561;Education Sciences;2025;TRUE;FALSE;https://doi.org/10.3390/educsci15121660;USA;"Choo, S.; An, J.; Nelson, N.; Kosty, D.";Optimizing Assessment Thresholds of a Computer Gaming Intervention for Students with or at Risk for Mathematics Learning Disabilities: Accuracy and Response Time Trade-Offs;"drift diffusion model; speed-accuracy trade-offs; mathematics learning disabilities; assessment thresholds; technology-based gaming interventions";0;0;0;0;0;1;0;1;0;1;1;0;1;0;NA;0;1;0;0;NA;NA;quantitative;
35;W4409068335;S2738008561;Education Sciences;2025;FALSE;TRUE;https://doi.org/10.3390/educsci15040439;USA;"Elnady, Y.; Farghally, M.; Mohammed, M.; Shaffer, C. A.";Detecting Credit-Seeking Behavior with Programmed Instruction Framesets in a Formal Languages Course;"programmed instruction; student engagement; automated assessment; eTextbook; credit-seeking behavior; formal languages";0;0;0;0;0;1;0;1;0;0;1;1;0;0;NA;1;0;0;0;NA;NA;quantitative;
37;W4381662496;S2738008561;Education Sciences;2023;TRUE;FALSE;https://doi.org/10.3390/educsci13070630;USA;"Sawyer, B. E.; Wakeel, F.; Manz, P. H.; Link, O.";Childrens Stress in the Time of COVID-19: Relationships with School, Social and Recreational Experiences;"COVID-19; children; parents; school; stress; relationships; recreation";0;0;0;0;0;1;1;0;0;0;0;1;0;0;NA;1;0;0;0;NA;NA;quantitative;
38;W4293420073;S2738008561;Education Sciences;2022;TRUE;FALSE;https://doi.org/10.3390/educsci12090585;USA;"Zhu, L.; Shepley, C.; Grisham, J.; Lane, J. D.";A Brief Parent-Coaching Package for Tiered Language Interventions;"parent coaching; language intervention; dual language learners; naturalistic language strategies; multiple baseline design";0;0;0;0;0;1;0;1;0;1;1;1;0;0;NA;0;1;1;0;NA;study_material;quantitative;
39;W4415762252;S2738252563;AERA Open;2025;TRUE;FALSE;https://doi.org/10.1177/23328584251385469;USA;"Mokher, C. G.; Park-Gaghan, T. J.";How Academic Preparation Shapes College Students Own Success and the Success of their Peers in Corequisite Courses: Evidence from Texas;"colleges; educational reform; higher education; regression analyses; developmental education; corequisite reform; academic preparation; peer effects; high school course taking";0;0;0;0;0;1;0;0;0;0;0;0;1;0;NA;1;0;1;0;NA;study_material;quantitative;
